,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation
12,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block444.1_input.json,31.0,31.0,True,False,31,0.0,1.636,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
13,0x0000000000085d4780b73119b644ae5ecd22b376_UpgradeabilityProxy_block133.4_input.json,31.0,31.0,True,False,31,0.0,1.816,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
14,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block1057.1_input.json,31.0,31.0,True,False,31,0.0,2.132,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
15,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block2066.1_input.json,31.0,31.0,True,False,31,0.0,2.4,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
16,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block200.1_input.json,31.0,31.0,True,False,31,0.0,2.16,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
17,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block1309.2_input.json,751.0,751.0,True,False,766,15.0,2.172,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD ADD SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
18,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block709.5_input.json,32.0,32.0,True,False,38,6.0,1.016,DUP3 PUSH20 1461501637330902918203684832716283019655932542975 AND CALLER PUSH32 63486140976153616755203102783360879283472101686154884697241723088393386309925 DUP5 PUSH1 64 MLOAD DUP1 DUP8 DUP3 ,12,11.0,3,3,True,11,0.9166666666666666,1.0
19,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block2046.5_input.json,751.0,751.0,True,False,766,15.0,2.744,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD ADD SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
20,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block709.6_input.json,31.0,31.0,True,False,31,0.0,2.244,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
21,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_Token_block564.1_input.json,31.0,31.0,True,False,31,0.0,1.904,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
22,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block377.1_input.json,31.0,31.0,True,False,31,0.0,2.244,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
23,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block467.1_input.json,31.0,31.0,True,False,31,0.0,1.744,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
24,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_Token_block376.1_input.json,31.0,31.0,True,False,31,0.0,2.04,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
25,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block1599.2_input.json,760.0,760.0,True,False,766,6.0,2.404,PUSH1 32 ADD PUSH1 0 SHA3 SLOAD DUP4 PUSH1 0 PUSH1 0 PUSH20 1461501637330902918203684832716283019655932542975 DUP9 AND PUSH1 0 ,13,12.0,4,3,True,12,0.9230769230769232,1.0
26,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block1384.4_input.json,765.0,765.0,True,False,771,6.0,12.984000000000002,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 POP SLOAD DUP3 PUSH1 0 PUSH1 0 DUP8 PUSH20 1461501637330902918203684832716283019655932542975 AND DUP3 ,15,14.0,4,3,True,13,0.8666666666666667,0.9285714285714286
27,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block288.0_input.json,29.0,29.0,True,False,29,0.0,2.312,PUSH1 64 MLOAD DUP1 SWAP4 POP SWAP4 POP POP SUB SWAP2 POP ,11,11.0,2,1,True,8,0.7272727272727273,0.7272727272727273
