,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation
28,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block1736.5_input.json,751.0,751.0,True,False,766,15.0,1.472,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
29,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block137_input.json,26.0,26.0,True,False,97,71.0,7.364,POP PUSH1 200 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 709 ,32,9.0,3,5,True,9,0.28125,1.0
30,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block602_input.json,32.0,32.0,True,False,103,71.0,18.624,POP PUSH2 687 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 36 CALLDATALOAD AND PUSH2 2272 ,34,11.0,4,5,True,11,0.3235294117647059,1.0
31,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block972_input.json,32.0,32.0,True,False,103,71.0,17.392,POP PUSH2 1057 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 36 CALLDATALOAD AND PUSH2 2807 ,34,11.0,4,5,True,11,0.3235294117647059,1.0
32,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block501_input.json,26.0,26.0,True,False,97,71.0,9.432,POP PUSH2 564 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 1788 ,32,9.0,3,5,True,9,0.28125,1.0
33,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block1928.4_input.json,751.0,751.0,True,False,766,15.0,1.4480000000000002,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
34,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block1305.10_input.json,751.0,751.0,True,False,766,15.0,1.7919999999999998,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
35,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block871_input.json,26.0,26.0,True,False,97,71.0,9.096,POP PUSH2 934 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 2323 ,32,9.0,3,5,True,9,0.28125,1.0
36,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block501_input.json,26.0,26.0,True,False,97,71.0,6.892,POP PUSH2 564 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 1834 ,32,9.0,3,5,True,9,0.28125,1.0
37,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_Token_block501_input.json,26.0,26.0,True,False,97,71.0,6.96,POP PUSH2 564 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 738 ,32,9.0,3,5,True,9,0.28125,1.0
